adminPcode,name,male_population_2011,female_population_2011,population_2011,crude_birth_rate_2011
PG2003,South Bougainville District,41654,40021,81675,10
PG2104,Komo/Magarima District,49440,46713,96153,10
PG2105,Koroba/Kopiago District,38478,35377,73855,10
PG2108,Tari/Pori District,40977,38464,79441,10
PG2201,Anglimp/South Waghi District,41654,40021,81675,10
PG2204,Jimi District,55833,53190,109023,10
PG2206,North Waghi District,30503,28157,58660,10
PG01,Western Province,103762,97589,201351,10
PG02,Gulf Province,81814,76383,158197,10
PG03,Central Province,142231,127525,269756,10
PG04,National Capital District,194834,169291,364125,10
PG05,Milne Bay Province,143791,132721,276512,10
PG06,Northern (Oro) Province,97188,89121,186309,10
PG07,Southern Highlands Province,263523,246722,510245,10
PG08,Enga Province,224663,207382,432045,10
PG09,Western Highlands Province,183791,179059,362850,10
PG10,Chimbu (Simbu) Province,197307,179166,376473,10
PG11,Eastern Highlands Province,301048,278777,579825,10
PG12,Morobe Province,350902,323908,674810,10
PG13,Madang Province,257581,236325,493906,10
PG14,East Sepik Province,225998,224532,450530,10
PG15,West Sepik (Sandaun) Province,127771,120640,248411,10
PG16,Manus Province,31161,29324,60485,10
PG17,New Ireland Province,102494,91573,194067,10
PG18,East New Britain Province,168760,159609,328369,10
PG19,West New Britain Province,138942,125322,264264,10
PG20,Autonomous Region of Bougainville,127990,121368,249358,10
PG21,Hela Province,128895,120554,249449,10
PG22,Jiwaka Province,178418,165569,343987,10
PG,Papua New Guinea,3772864,3502460,7275324,10
